id_tweet,text,task1,anio
3437,Nadie te va a tratar tan bien como un hombre que te lo quiere meter por primera vez.,sexist,2021
3438,"Que rica putita obediente, afortunado tu marido de tener una mujer como tú, saludos",sexist,2021
3439,Yo lo hice a los 18 años por la carretera libre a Veracruz y ahora hay más carreteras veras que si puedes mujer,non-sexist,2021
3440,"las cosas q sueño son indicios de que yo enrealidad soy una lesbiana reprimida, no tengo ninguna duda d esto",non-sexist,2021
3441,"Pero a la niña le gustó desde que lo vió, así que me le dije, hola bien y tú? Ese día sólo podía ver un hombre guapo, moreno (como me gustan) con una barba que rodeaba su boca tan perfecta y unos ojazos que wow. Hasta las manos le vi ajjaja por que si me fijo en eso",non-sexist,2021
3442,"Faltar al respeto nunca ha sido la solución a nada. Un poco de clase y elegancia, hombre. Dice muy poco de usted como periodista si necesita recurrir al insulto fácil.",non-sexist,2021
3443,LA ALCALDESA CLAUDIA LOPEZ Y DEMAS ALCALDESPRETENDEN METER POR LA SEPTIMA LO QUE NO CABELO QUE NO CABE NO CABELA SEPTIMA DESDE LA CALLE 32 A LA CALLE 100 ES MUY ESTRECHA HAY QUE HACER UNA VIA EXPRESASUBTERRANEA O AEREA,non-sexist,2021
3444,"Sigues lloriqueando, no me des la brasa nenaza",sexist,2021
3445,"Y para nada estoy diciendo esto desde un sitio de victimismo; al contrario, ser empático con las causas de personas como tú te empodera a ti y a quienes te rodean, así que antes de decir que “no hablen por ti esos grupos”...",non-sexist,2021
3446,Que atractiva es la seguridad.,non-sexist,2021
3447,"Perdonar lo no sólo es posible, es absolutamente necesario. Estoy harta de las boludas que acusan de todos los males de la humanidad a los hombres. Muerte al feminismo",sexist,2021
3448,El odio que te tengo nunca se me va a quitar pinché lagartona,sexist,2021
3449,"Al momento de sentarme a estudiar todo me parece más interesante y divertido, desde pintarme las uñas hasta fregar, limpiar o simplemente mirar para afuera sin hacer nada conchalalora",non-sexist,2021
3450,Cuando pasan delante tuya todos los ciriales de La Mortaja en una calle estrecha.,non-sexist,2021
3451,"Mientras algunos luchan por querer jugar, otros le pegan a las vitaminas felices. Fuller de los está suspendido seis partidos por violar la ley de sustancias restringidas..nfl futbolamericano willfuller texans texansnation pedpolicy",non-sexist,2021
3452,Es increíble y absurdo lo que son capaces de montar estos fascistas por ver a cuatro voluntarios bailando.son pura escoria. NiUnEuroACruzRoja,non-sexist,2021
3453,"El aborto es machista: hay muchas mujeres que quieren tener a sus hijos.Conozco un caso de una mujer que quería tener a su hijo, pero bajo preciones y amenazas tuvo que asesinar a su propio hijo.Tenemos que acabar con el machismo y con el asesinato sistematizado de bebés.",sexist,2021
3454,Tengo una obsesión con Betty la fea,non-sexist,2021
3455,"Todas putas man, literal",sexist,2021
3456,chicas las que vais a psicólogo privado cuanto pagáis más o menos?,non-sexist,2021
3457,lo que se merece!!!,non-sexist,2021
3458,Que fea son las malas actitudes loco,non-sexist,2021
3459,"Me parece increíble que hasta en un puto juego sexualicen a las mujeres, sí, ya sé que son personas imbéciles que no tienen vida propia, pero es que es el colmo. Tengo una piedra ni la más hp.",sexist,2021
3460,Q es un guebon dejar d tratar una mujer como usted..,non-sexist,2021
3461,Dicen buscar la equidad pero cuando les preguntas q si están encontrar de la ley integral de violencia de género o la violencia contra el hombre te dicen es q el feminismo es algo para mujeres es decir q no buscan equidad sino beneficios propios/superioridad y ni para eso sirven,sexist,2021
3462,"Cuándo vamos a entender que no somos dueños de nadie?Que el amor por presión no existe.Usted tiene derecho de dejar de querer, de separarse, de decir adiós.Como hombre pienso que a las mujeres hay que quererlas con locura, pero hasta el día que ellas quieran que las quieran.",non-sexist,2021
3463,DE DONDE SALISTE HIJO DE PUTA QUE HERMOSO PARECES DE UNA PELICULA ME MUERO TE AMO TE AMO,non-sexist,2021
3464,"YoSiTeCreo , estamos contigo campeón, todo es. mentira, salvo tu verdad",non-sexist,2021
3465,y luego me explicas que todas esas maltratadora se creen con derecho a pegar a su pareja porque se creen superiores por ser mujeres.,sexist,2021
